stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
3410,,Elche/Elx AV,,38.24551,-0.76675,,,,,Europe/Madrid,2
92102,,Toledo,,39.862272,-4.011244,,,,,Europe/Madrid,1
3412,,Callosa de Segura-Cox,,38.1227708,-0.8745727,,,,,Europe/Madrid,2
62001,,Beniel,,38.0448608,-0.9994759,,,,,Europe/Madrid,2
99159,,Santiago-TurÃ­stico,,42.870842,-8.544697,,,,,Europe/Madrid,2
31416,,Cerceda-Meirama,,43.2078791,-8.4467723,,,,,Europe/Madrid,2
23021,,PadrÃ³n Barbanza,,42.738967,-8.652614,,,,,Europe/Madrid,2
8224,,Redondela AV,,42.284509,-8.603573,,,,,Europe/Madrid,2
23002,,Arcade,,42.340549,-8.611178,,,,,Europe/Madrid,2
99161,,Pontevedra-TurÃ­stico,,42.421969,-8.635546,,,,,Europe/Madrid,1
99143,,A CoruÃ±a-TurÃ­stico,,43.352761,-8.409755,,,,,Europe/Madrid,2
55020,,Algeciras,,36.126831,-5.451108,,,,,Europe/Madrid,1
55007,,Ronda,,36.748401,-5.16197,,,,,Europe/Madrid,1
55018,,San Roque-La LÃ­nea,,36.214482,-5.432399,,,,,Europe/Madrid,2
99117,,Ourense TurÃ­stico,,42.350389,-7.872777,,,,,Europe/Madrid,2
87089,,Marseille St Charles,,43.30349,5.382236,,,,,Europe/Madrid,2
87912,,Aix en Provence TGV,,43.455268,5.31723,,,,,Europe/Madrid,2
87814,,Avignon TGV,,43.921938,4.785813,,,,,Europe/Madrid,2
87302,,Nimes,,43.832291,4.365845,,,,,Europe/Madrid,2
87173,,Montpellier Saint-Roch,,43.604852,3.880491,,,,,Europe/Madrid,2
87088,,Narbonne,,43.190253,3.005716,,,,,Europe/Madrid,2
87374,,Perpignan,,42.696421,2.880381,,,,,Europe/Madrid,2
87303,,Lyon Part Dieu,,45.760281,4.859801,,,,,Europe/Madrid,2
87810,,Valence TGV,,44.991545,4.978703,,,,,Europe/Madrid,2
61015,,Archena-Fortuna,,38.13132,-1.236037,,,,,Europe/Madrid,2
61012,,Cieza,,38.246609,-1.421702,,,,,Europe/Madrid,2
61005,,HellÃ­n,,38.508776,-1.688437,,,,,Europe/Madrid,2
15401,,Calzada de Asturias,,43.5353848,-5.6971507,,,,,Europe/Madrid,2
15218,,Llamaquique,,43.3588282,-5.8573201,,,,,Europe/Madrid,1
15200,,Ujo,,43.2046962,-5.7926422,,,,,Europe/Madrid,1
15120,,Campomanes,,43.1100681,-5.8164466,,,,,Europe/Madrid,2
15118,,Puente de los Fierros,,43.0715986,-5.769465,,,,,Europe/Madrid,2
15116,,Linares-Congostinas,,43.101743,-5.772162,,,,,Europe/Madrid,2
15113,,Busdongo,,42.984495,-5.705391,,,,,Europe/Madrid,2
15112,,VillamanÃ­n,,42.93671,-5.657637,,,,,Europe/Madrid,2
15109,,Santa LucÃ­a,,42.87515,-5.639613,,,,,Europe/Madrid,2
15108,,La Pola de GordÃ³n,,42.854099,-5.674524,,,,,Europe/Madrid,2
15106,,La Robla,,42.804454,-5.626255,,,,,Europe/Madrid,2
15015,,Palanquinos,,42.460716,-5.497584,,,,,Europe/Madrid,2
15012,,El Burgo Ranero,,42.425753,-5.208592,,,,,Europe/Madrid,2
15009,,SahagÃºn,,42.369329,-5.022667,,,,,Europe/Madrid,1
15008,,Grajal,,42.323246,-5.013381,,,,,Europe/Madrid,2
15007,,Villada,,42.245238,-4.970589,,,,,Europe/Madrid,2
15004,,Paredes de Nava,,42.150694,-4.697599,,,,,Europe/Madrid,2
11000,,Venta de BaÃ±os,,41.91736,-4.495844,,,,,Europe/Madrid,2
10605,,DueÃ±as,,41.87048,-4.541216,,,,,Europe/Madrid,2
10602,,CabezÃ³n del Pisuerga,,41.737276,-4.651294,,,,,Europe/Madrid,2
10610,,Valladolid Universidad,,41.660257,-4.704037,,,,,Europe/Madrid,2
22300,,Redondela,,42.286005,-8.619402,,,,,Europe/Madrid,2
23000,,Redondela-Picota,,42.286866,-8.607118,,,,,Europe/Madrid,2
23009,,Catoira,,42.672166,-8.725291,,,,,Europe/Madrid,2
23010,,Pontecesures,,42.722985,-8.65213,,,,,Europe/Madrid,2
23011,,PadrÃ³n,,42.738967,-8.652614,,,,,Europe/Madrid,2
31415,,Ordes,,43.037544,-8.448447,,,,,Europe/Madrid,2
31411,,Uxes,,43.297374,-8.444404,,,,,Europe/Madrid,2
23005,,Portela,,42.517801,-8.654609,,,,,Europe/Madrid,2
23013,,Osebe,,42.825298,-8.61584,,,,,Europe/Madrid,2
23018,,Pontevedra Universidad,,42.4387499,-8.6304812,,,,,Europe/Madrid,2
23001,,Cesantes,,42.310258,-8.616541,,,,,Europe/Madrid,2
20002,,Quintana-Raneros,,42.550085,-5.637789,,,,,Europe/Madrid,2
20008,,Villavante,,42.46458,-5.838914,,,,,Europe/Madrid,2
20006,,Barrientos,,42.414301,-5.963988,,,,,Europe/Madrid,2
20007,,Nistal,,42.424462,-6.00803,,,,,Europe/Madrid,2
20103,,Porqueros,,42.598935,-6.108238,,,,,Europe/Madrid,2
20106,,La Granja,,42.614874,-6.282495,,,,,Europe/Madrid,2
15001,,Grijota,,42.049225,-4.583954,,,,,Europe/Madrid,2
15003,,Becerril,,42.104706,-4.64712,,,,,Europe/Madrid,2
22201,,O PorriÃ±o,,42.16419,-8.62202,,,,,Europe/Madrid,2
22200,,Guillarei,,42.065663,-8.62253,,,,,Europe/Madrid,2
22110,,Caldelas,,42.055813,-8.566343,,,,,Europe/Madrid,2
22109,,Salvaterra,,42.08164,-8.495141,,,,,Europe/Madrid,2
22108,,As Neves,,42.075462,-8.420074,,,,,Europe/Madrid,2
22106,,Arbo,,42.107058,-8.300247,,,,,Europe/Madrid,2
22104,,Frieira,,42.154882,-8.201036,,,,,Europe/Madrid,2
22103,,Filgueira,,42.219917,-8.184788,,,,,Europe/Madrid,2
22102,,Ribadavia,,42.2931,-8.139261,,,,,Europe/Madrid,2
22101,,Barbantes,,42.338376,-8.011721,,,,,Europe/Madrid,2
20212,,VilamartÃ­n de Valdeorras,,42.411829,-7.061185,,,,,Europe/Madrid,2
20210,,Sobradelo,,42.414859,-6.911951,,,,,Europe/Madrid,2
20208,,QuereÃ±o,,42.420704,-6.829486,,,,,Europe/Madrid,2
20207,,Covas,,42.475326,-6.830878,,,,,Europe/Madrid,2
20204,,Toral de los Vados,,42.541052,-6.776703,,,,,Europe/Madrid,2
20203,,Villadepalos,,42.53686,-6.751109,,,,,Europe/Madrid,2
20214,,Montefurado,,42.39402,-7.1984,,,,,Europe/Madrid,2
20218,,A Pobra Do BrollÃ³n,,42.533682,-7.400088,,,,,Europe/Madrid,2
22001,,Canaval,,42.482882,-7.587733,,,,,Europe/Madrid,2
22002,,Areas,,42.457799,-7.62879,,,,,Europe/Madrid,2
22003,,Santo Estevo Do Sil,,42.426921,-7.661676,,,,,Europe/Madrid,2
22004,,San Pedro Do Sil,,42.441353,-7.70412,,,,,Europe/Madrid,2
22005,,Os Peares,,42.451439,-7.735523,,,,,Europe/Madrid,2
22006,,Barra de MiÃ±o,,42.401095,-7.802567,,,,,Europe/Madrid,2
22105,,Pousa-Crecente,,42.136705,-8.234889,,,,,Europe/Madrid,2
22107,,Sela,,42.092092,-8.355998,,,,,Europe/Madrid,2
20410,,ElviÃ±a-Universidade,,43.335222,-8.413061,,,,,Europe/Madrid,2
20404,,O Burgo-Santiago,,43.317841,-8.36875,,,,,Europe/Madrid,2
20403,,Cambre,,43.290502,-8.352104,,,,,Europe/Madrid,2
20402,,Cecebre,,43.287913,-8.307767,,,,,Europe/Madrid,2
20400,,Betanzos-Infesta,,43.270698,-8.225847,,,,,Europe/Madrid,2
20320,,Oza Dos RÃ­os,,43.21877,-8.187111,,,,,Europe/Madrid,2
20319,,Cesuras,,43.173073,-8.2005,,,,,Europe/Madrid,2
20318,,PiÃ±oi,,43.127922,-8.163498,,,,,Europe/Madrid,2
20317,,Curtis,,43.127232,-8.143155,,,,,Europe/Madrid,2
20316,,Teixeiro,,43.141411,-8.03769,,,,,Europe/Madrid,2
20314,,Guitiriz,,43.179058,-7.895039,,,,,Europe/Madrid,2
20313,,Parga,,43.163644,-7.837383,,,,,Europe/Madrid,2
20312,,Baamonde,,43.173405,-7.756128,,,,,Europe/Madrid,2
20310,,RÃ¡bade,,43.121378,-7.624835,,,,,Europe/Madrid,2
20306,,Pedrelo-CÃ©ltigos,,42.832934,-7.393329,,,,,Europe/Madrid,2
21010,,Ferrol,,43.4880467,-8.2310664,,,,,Europe/Madrid,1
21008,,PerlÃ­o,,43.472309,-8.174837,,,,,Europe/Madrid,2
21005,,Cabanas,,43.415585,-8.168828,,,,,Europe/Madrid,2
21004,,Pontedeume,,43.411797,-8.180416,,,,,Europe/Madrid,2
21003,,Perbes,,43.378197,-8.201106,,,,,Europe/Madrid,2
21002,,MiÃ±o,,43.349431,-8.207313,,,,,Europe/Madrid,2
21001,,Betanzos-Cidade,,43.284137,-8.215874,,,,,Europe/Madrid,2
